Company/Brand,Sector,Stage,Amount ($),HeadQuarter,What it does,Year of Funding,Amount(USD)
Snapmint,"Consumer Lending, Financial Services, Lending, Personal Finance",Seed,0.0,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,NUL
artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Pre-Seed,,Bangalore,Ai platform for Art and Creative Community,2018, 
Survaider,"Business Intelligence, Customer Service, Market Research, SaaS",Seed,500000.0,Bengaluru,Stethoscope for customer feedback !,2018, 
Credy,"Credit, Financial Services, FinTech, Lending",Seed,1400000.0,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018, 
iChamp,E-Learning,Seed,5000000.0,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018, 
Qandle,Software,Seed,1200000.0,Gurgaon,A cloud-based HR management and employee engagement platform.,2018, 
Avishkaar Box,"Children, Education, Parenting",Seed,,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018,INR
Gegadyne Energy,"Automotive, Battery, Energy, Energy Storage",Angel,0.0,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018,NUL
HyperXchange,"E-Commerce, Mobile, Sharing Economy",Series A,1000000.0,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018, 
Deftouch,—,Seed,0.0,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018,NUL
Doodhwala,"Food Delivery, Organic, Organic Food",Seed,2200000.0,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018, 
DronaHQ,Mobile,Angel,500000.0,Mumbai,DronaHQ is an enterprise mobile engagement platform.,2018, 
FastFox,Rental,Series A,,Gurgaon,FastFox: Market Network for Home Rentals (India),2018,INR
